Pacos de Ferreira,18
Sanfins Lamoso Codessos,19
Paredes,10
Aguiar de Sousa,01
Astromil,02
Baltar,03
Beire,04
Cete,08
Cristelo,09
Duas Igrejas,10
Gandra,11
Lordelo,13
Louredo,14
Parada de Todeia,17
Rebordosa,18
Recarei,19
Sobreira,20
Sobrosa,21
Vandoma,22
Vilela,24
Paredes,25
Penafiel,11
Abragao,01
Boelhe,02
Bustelo,03
Cabeca Santa,04
Canelas,05
Capela,06
Casteloes,07
Croca,08
Duas Igrejas,09
Eja,10
Fonte Arcada,12
Galegos,13
Irivo,15
Oldroes,21
Paco de Sousa,22
Perozelo,25
Rans,28
Rio de Moinhos,29
Recezinhos (S. Mamede),32
Recezinhos (S. Martinho),33
Sebolido,34
Valpedre,36
Rio Mau,38
Penafiel,39
Luzim e Vila Cova,40
Guilhufe e Urro,41
Lagares e Figueira,42
Termas de Sao Vicente,43
Porto,12
Bonfim,02
Campanha,03
Paranhos,10
Ramalde,11
Aldoar, Foz do Douro e Nevogilde,16
Cedofeita,Ildefonso,Se,Miragaia,Nicolau,Vitoria,17
Lordelo do Ouro e Massarelos,18
Povoa de Varzim,13
Balazar,05
Estela,07
Laundos,08
Rates,11
Aver-O-Mar, Amorim e Terroso,13
Agucadoura e Navais,14
Povoa de Varzim, Beiriz e Argivai,15
Santo Tirso,14
Agrela,01
Agua Longa,02
Aves,05
Monte Cordova,13
Rebordoes,16
Reguenga,18
Roriz,19
Negrelos (S. Tome),30
Vilarinho,32
Areias, Sequeiro, Lama e Palmeira,33
Campo, S.Salvador Campo, Negrelos,34
Carreira e Refojos de Riba de Ave,35
Lamelas e Guimarei,36
St.Tirso, Couto (S.Cristina e S.Miguel) e Burgaes,37
Valongo,15
Alfena,01
Ermesinde,03
Valongo,05
Campo e Sobrado,06
Vila do Conde,16
Arvore,02
Aveleda,03
Azurara,04
Fajozes,07
Giao,10
Guilhabreu,11
Junqueira,12
Labruge,13
Macieira da Maia,14
Mindelo,16
Modivas,17
Vila Cha,27
Vila do Conde,28
Vilar de Pinheiro,30
Bagunte, Ferreiro, Outeiro Maior e Parada,31
Fornelo e Vairao,32
Malta e Canidelo,33
Retorta e Tougues,34
Rio Mau e Arcos,35
Touguinha e Touguinho,36
Vilar e Mosteiro,37
Vila Nova de Gaia,17
Arcozelo,01
Avintes,02
Canelas,03
Canidelo,04
Madalena,09
Oliveira do Douro,12
S. Felix da Marinha,17
Vilar de Andorinho,23
Grijo e Sermonde,25
Gulpilhares e Valadares,26
Mafamude e Vilar do Paraiso,27
Pedroso e Seixezelo,28
Sandim, Olival, Lever e Crestuma,29
